City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
0,Puerto Ayora,20,EC,1583959155,70,-0.74,-90.35,86,9.17
1,Avarua,46,CK,1583959030,74,-21.21,-159.78,84.2,9.17
2,Pevek,99,RU,1583959157,87,69.7,170.31,-9.56,6.33
3,Ambanja,100,MG,1583959158,89,-13.68,48.45,78.87,2.93
4,Tocopilla,0,CL,1583959159,39,-22.09,-70.2,72.01,10.94
5,Port Macquarie,90,AU,1583959160,100,-31.43,152.92,61,4.7
6,Lompoc,75,US,1583959161,82,34.64,-120.46,66,6.93
7,Busselton,80,AU,1583959163,90,-33.65,115.33,61,13.22
8,Ardabil,63,IR,1583959165,45,38.25,48.29,38.1,9.24
9,Cape Town,40,ZA,1583959093,68,-33.93,18.42,71.01,9.17
10,Cabra,100,ES,1583959167,68,37.47,-4.44,68,5.14
11,Ushuaia,90,AR,1583959131,81,-54.8,-68.3,48.2,14.99
12,Rikitea,1,PF,1583959169,82,-23.12,-134.97,77.45,15.61
13,Kailua,20,US,1583959170,54,21.4,-157.74,80.6,4.7
14,Cabo San Lucas,75,MX,1583958922,35,22.89,-109.91,91.4,12.75
15,Caranavi,8,BO,1583959172,84,-15.82,-67.55,70.79,1.74
16,Punta Arenas,90,CL,1583959173,93,-53.15,-70.92,53.6,6.93
17,Eureka,90,US,1583959176,87,40.8,-124.16,57,4.7
18,Poum,0,NC,1583959177,81,-20.23,164.02,82.02,13.31
19,Bahawalpur,0,PK,1583959178,94,29.4,71.68,54.39,3.53
20,Jamestown,90,US,1583959180,69,42.1,-79.24,43,6.93
21,Hilo,20,US,1583958995,57,19.73,-155.09,80.6,5.82
22,Cherskiy,100,RU,1583959182,96,68.75,161.3,-11.07,6.35
23,Bluff,95,NZ,1583959185,84,-46.6,168.33,51.01,4
24,Klaksvík,100,FO,1583959186,71,62.23,-6.59,32,9.69
25,Buraidah,67,SA,1583959187,28,26.33,43.98,69.8,5.82
26,Taltal,0,CL,1583959188,72,-25.4,-70.48,67.23,5.88
27,Nakamura,0,JP,1583959189,77,32.98,132.93,36.5,4.07
28,Antofagasta,95,CL,1583959190,56,-23.65,-70.4,73.4,12.75
29,Ustynivka,90,UA,1583959191,66,47.96,32.54,50,13.42
30,Taoudenni,68,ML,1583959192,11,22.68,-3.98,72.18,12.64
31,Tiksi,0,RU,1583959193,79,71.69,128.87,-22.04,11.95
32,The Pas,75,CA,1583959195,68,53.83,-101.25,30.2,8.05
33,Albany,75,US,1583958902,36,42.6,-73.97,48,4.7
34,Galesong,20,ID,1583959197,94,-5.32,119.37,77,3.36
35,Alexandria,40,EG,1583959024,72,31.22,29.96,60.8,12.75
36,Lagoa,100,PT,1583959199,73,39.05,-27.98,57.38,13.27
37,Bandarbeyla,77,SO,1583959152,70,9.49,50.81,78.6,18.95
38,Airai,41,TL,1583959191,90,-8.93,125.41,67.06,2.59
39,Hobart,29,AU,1583958998,76,-42.88,147.33,55.4,9.17
40,Mataura,44,NZ,1583959190,84,-46.19,168.86,51.01,4
41,Carnarvon,0,AU,1583959187,100,-24.87,113.63,71.6,3.36
42,Tonekābon,40,IR,1583959207,93,36.82,50.87,48.2,2.24
43,San Felipe,7,VE,1583959208,64,10.34,-68.74,80.53,9.17
44,Esperance,43,AU,1583959209,82,-33.87,121.9,60.8,8.05
45,Qaanaaq,0,GL,1583959210,50,77.48,-69.36,-23.19,6.15
46,Upernavik,74,GL,1583959211,93,72.79,-56.15,-22.09,6.08
47,Mohpa,75,IN,1583959212,57,21.32,78.82,77,3.36
48,Kumëny,100,RU,1583959215,91,58.11,49.92,33.37,12.71
49,Zyryanka,100,RU,1583959217,96,65.75,150.85,-21.39,13.62
50,Meulaboh,89,ID,1583959215,79,4.14,96.13,81.75,5.79
51,Cidreira,0,BR,1583959219,84,-30.18,-50.21,75.76,15.88
52,Lodja,89,CD,1583959220,91,-3.48,23.43,70.21,1.88
53,Karratha,100,AU,1583959221,59,-20.74,116.85,86.79,17.94
54,Rovaniemi,90,FI,1583959097,98,66.5,25.72,32,6.93
55,Ortaköy,100,TR,1583959223,60,38.74,34.04,42.8,1.12
56,George Town,40,MY,1583959225,94,5.41,100.34,82.4,3.36
57,Faya,68,SA,1583959226,82,18.39,42.45,62.6,5.19
58,Fatwa,40,IN,1583959227,100,25.52,85.32,66.2,5.55
59,Bathsheba,20,BB,1583959228,61,13.22,-59.52,82.4,16.11
60,Severo-Kuril'sk,98,RU,1583959229,88,50.68,156.12,25.38,35.21
61,Saint Paul Harbor,1,US,1583959230,39,57.79,-152.41,28.4,5.82
62,East London,96,ZA,1583959220,81,-33.02,27.91,72.81,15.99
63,Kangaatsiaq,100,GL,1583959233,84,68.31,-53.46,9.7,12.06
64,Dauphin,1,CA,1583959235,64,51.15,-100.05,39.2,18.34
65,Marzuq,2,YE,1583959237,57,14.4,46.47,59.29,0.65
66,Tegul'det,100,RU,1583959238,92,57.31,88.17,22.3,15.39
67,New Norfolk,53,AU,1583959239,76,-42.78,147.06,55.4,9.17
68,Adeje,99,ES,1583959240,20,28.12,-16.73,71.01,12.95
69,Hermanus,99,ZA,1583959241,80,-34.42,19.23,70,11.01
70,Araouane,100,ML,1583959242,7,18.9,-3.53,76.48,8.75
71,Kapaa,1,US,1583959245,69,22.08,-159.32,75.99,4.7
72,Itarema,100,BR,1583959224,85,-2.92,-39.92,77.99,3.91
73,Hailey,20,US,1583959180,83,43.52,-114.32,46.4,11.41
74,Ancud,75,CL,1583959248,63,-41.87,-73.82,64.4,11.41
75,Takaka,99,NZ,1583959249,83,-40.85,172.8,55.58,2.19
76,Ostfildern,14,DE,1583959250,76,48.73,9.25,59,9.17
77,Hithadhoo,100,MV,1583959251,73,-0.6,73.08,83.37,10.09
78,Batagay-Alyta,0,RU,1583959252,57,67.8,130.41,-26,4.09
79,Mapiripán,100,CO,1583959254,43,2.89,-72.13,92.66,0.98
80,Cabedelo,40,BR,1583959255,74,-6.98,-34.83,84.2,9.17
81,Sur,0,OM,1583959251,28,22.57,59.53,62.98,2.08
82,Butaritari,100,KI,1583959257,78,3.07,172.79,82.58,16.62
83,Sumenep,0,ID,1583959258,83,-7.02,113.87,79.16,3.76
84,Baltasi,98,RU,1583959259,78,56.35,50.21,36.79,15.52
85,Birobidzhan,100,RU,1583959260,92,48.8,132.95,12.94,1.61
86,Polunochnoye,100,RU,1583959261,98,60.87,60.42,30.74,5.21
87,General Roca,43,AR,1583959262,23,-39.03,-67.58,86,5.82
88,Doka,13,SD,1583959264,20,13.52,35.77,80.26,5.84
89,Mandera,38,KE,1583959265,28,3.94,41.87,88.57,11.3
90,Japura,17,ID,1583959266,98,-0.32,102.35,74.34,0.67
91,Songea,100,TZ,1583959267,96,-10.68,35.65,67.66,2.93
92,Mendi,100,PG,1583959268,97,-6.18,143.65,54.99,3.65
93,Kongolo,91,CD,1583959269,97,-5.38,27,70.45,2.28
94,Sartell,75,US,1583959270,93,45.62,-94.21,37.99,16.11
95,Ribeira Grande,75,PT,1583959225,76,38.52,-28.7,57.2,13.87
96,Vanderhoof,0,CA,1583959272,46,54.02,-124.02,37.06,11.77
97,Puerto Madryn,0,AR,1583959196,15,-42.77,-65.04,84.11,19.24
98,Mar del Plata,90,AR,1583959275,78,-38,-57.56,71.6,10.29
99,Raudeberg,40,NO,1583959276,80,61.99,5.14,39.2,24.16
100,Porto-Novo,20,BJ,1583959277,84,6.5,2.6,86,14.99
101,St. George's,20,GD,1583959278,65,12.06,-61.75,82.4,17.22
102,Yellowknife,20,CA,1583959122,54,62.46,-114.35,3.2,12.75
103,Chokurdakh,0,RU,1583959280,93,70.63,147.92,-29.65,4.59
104,Tilichiki,100,RU,1583959281,93,60.47,166.1,27.72,35.81
105,Talnakh,90,RU,1583959250,85,69.49,88.4,14,35.79
106,Half Moon Bay,20,US,1583959284,67,37.46,-122.43,73.99,8.05
107,Abu Samrah,29,SY,1583959285,54,35.3,37.18,59.47,5.23
108,Sioux Lookout,90,CA,1583959286,44,50.1,-91.92,37.4,10.29
109,Fortuna,90,US,1583959218,100,40.6,-124.16,66.99,3.36
110,Ugoofaaru,44,MV,1583959288,66,5.67,73,83.17,7.94
111,Havelock,1,US,1583959290,56,34.88,-76.9,75.99,16.11
112,Luganville,40,VU,1583959291,94,-15.53,167.17,78.8,3.36
113,Christchurch,57,NZ,1583959293,76,-43.53,172.63,57,2.24
114,Shingū,0,JP,1583959294,70,33.73,135.98,45.81,8.68
115,Norman Wells,90,CA,1583959035,69,65.28,-126.83,-9.4,17.22
116,Atuona,15,PF,1583959198,77,-9.8,-139.03,82.18,11.12
117,Atbasar,100,KZ,1583959297,96,51.8,68.33,30.99,7.23
118,Panguna,94,PG,1583959298,94,-6.32,155.48,71.2,3.87
119,Dunedin,0,NZ,1583959300,68,-45.87,170.5,55,5.01
120,Vaini,75,TO,1583959199,94,-21.2,-175.2,78.8,3.36
121,Dikson,69,RU,1583959187,93,73.51,80.55,-16.08,23.29
122,Cascais,100,PT,1583959096,72,38.7,-9.42,70,11.41
123,Flinders,75,AU,1583959288,93,-34.58,150.86,63,4.7
124,Tuktoyaktuk,75,CA,1583959214,68,69.45,-133.04,-20.2,12.75
125,Vostok,81,RU,1583959269,96,46.49,135.88,7.63,6.91
126,Bath,100,GB,1583959309,76,51.38,-2.36,52,18.34
127,Robertsport,100,LR,1583959211,80,6.75,-11.37,82.8,9.6
128,Sistranda,75,NO,1583959311,69,63.73,8.83,39.99,13.87
129,Iqaluit,20,CA,1583959313,69,63.75,-68.51,-9,11.41
130,Bonthe,100,SL,1583959315,85,7.53,-12.51,80.65,9.08
131,Castro,0,BR,1583959126,63,-24.79,-50.01,72.82,2.82
132,Faanui,87,PF,1583959317,73,-16.48,-151.75,82.72,10.22
133,Ligayan,54,PH,1583959318,72,4.65,119.47,82.53,6.49
134,Port Alfred,100,ZA,1583959207,93,-33.59,26.89,66.99,1.99
135,Bella Union,50,UY,1583959320,21,-30.28,-57.6,99.21,6.78
136,Dingle,68,PH,1583959263,88,11,122.67,71.82,10.96
137,Along,100,IN,1583959322,91,28.17,94.77,54.59,5.28
138,Bilma,0,NE,1583959324,14,18.69,12.92,62.49,14.23
139,Muromtsevo,100,RU,1583959325,98,56.37,75.24,33.37,7.94
140,Kahului,20,US,1583959288,57,20.89,-156.47,78.8,8.05
141,Dhanwār,82,IN,1583959327,54,24.42,85.98,71.04,4.18
142,Betong,3,TH,1583959329,98,5.77,101.07,68.02,2.86
143,Bonavista,98,CA,1583959299,84,48.65,-53.11,35.01,14
144,Mount Isa,0,AU,1583959044,65,-20.73,139.5,77,5.82
145,Shache,100,CN,1583959332,32,38.42,77.24,42.58,2.15
146,Chui,100,UY,1583959334,76,-33.7,-53.46,74.73,11.54
147,Praia,0,CV,1583959219,39,14.92,-23.51,78.8,17.22
148,Uthal,0,PK,1583959336,10,25.81,66.62,64.29,8.52
149,Mahébourg,75,MU,1583959337,94,-20.41,57.7,80.6,11.52
150,Bredasdorp,100,ZA,1583959280,60,-34.53,20.04,70,13.87
151,Voh,0,NC,1583959339,78,-20.97,164.7,80.37,3.67
152,Bethel,1,US,1583959341,26,41.37,-73.41,55.99,9.17
153,Leh,100,IN,1583959342,44,34.17,77.58,15.71,4.94
154,Khatanga,100,RU,1583959344,93,71.97,102.5,14.2,14.99
155,Laas,0,IT,1583959345,86,46.62,10.7,48.2,3.36
156,Basco,86,PH,1583959347,82,20.45,121.97,74.64,22.93
157,Qom,99,IR,1583959348,31,34.64,50.88,55.15,1.99
158,Progress,90,US,1583959349,43,40.29,-76.83,53.01,1.45
159,Khovd,0,MN,1583959350,56,48.01,91.64,4.89,6.08
160,Gardner,1,US,1583959351,27,42.58,-72,55,3.36
161,Buluang,81,PH,1583959352,92,13.31,123.34,71.89,7.07
162,Champerico,40,GT,1583959354,47,14.3,-91.92,95,11.41
163,Luan,24,CH,1583959355,81,46.36,6.98,51.01,4.7
164,Paulista,40,BR,1583959356,70,-7.94,-34.87,86,9.17
165,Chaykovskiy,96,RU,1583959357,65,56.77,54.11,39,3
166,Geraldton,40,AU,1583959358,83,-28.77,114.6,71.6,10.29
167,Abhā,99,SA,1583959359,82,18.22,42.51,62.6,3.36
168,Matara,19,LK,1583959246,86,5.95,80.54,72.01,5.57
169,Grand-Lahou,86,CI,1583959362,82,5.14,-5.02,83.57,12.82
170,Dalnerechensk,81,RU,1583959364,89,45.93,133.72,15.01,11.56
171,Ayan,0,RU,1583959365,74,56.45,138.17,1.56,11.41
172,Kavieng,86,PG,1583959366,73,-2.57,150.8,84.06,11.74
173,Krasne,0,UA,1583959091,70,49.91,24.61,46.4,8.95
174,Port Shepstone,94,ZA,1583959369,91,-30.74,30.45,65.84,7.83
175,Cayenne,75,GF,1583959250,58,4.93,-52.33,84.2,11.41
176,Narsaq,20,GL,1583959371,58,60.92,-46.05,26.6,5.82
177,Mago,0,RU,1583959372,99,53.25,140.18,-5.94,3.06
178,Srednekolymsk,86,RU,1583959374,97,67.45,153.68,-23.46,7.7
179,Plettenberg Bay,58,ZA,1583959257,83,-34.05,23.37,67.8,11.65
180,Barrow,1,US,1583959182,91,71.29,-156.79,-38.2,9.17
181,Adrar,0,MR,1583959377,7,20.5,-10.07,72.41,7.34
182,Lorengau,84,PG,1583959379,71,-2.02,147.27,83.88,11.1
183,Puerto Escondido,20,MX,1583959380,79,15.85,-97.07,86,6.93
184,Ponta do Sol,20,PT,1583959381,72,32.67,-17.1,62.6,23.04
185,Aras,100,ES,1583959382,67,42.56,-2.36,57.2,1.12
186,Mafinga,100,TZ,1583959383,97,-7.25,35.07,67.86,4.56
187,Oistins,20,BB,1583959385,61,13.07,-59.53,82.4,16.11
188,Lebu,100,CL,1583959386,48,-37.62,-73.65,70.92,6.53
189,Thompson,90,CA,1583959186,49,55.74,-97.86,24.8,6.93
190,Glarus,75,CH,1583959388,87,47.04,9.07,54,1.12
191,Yar-Sale,37,RU,1583959389,76,66.83,70.83,4.26,7
192,Husavik,90,IS,1583959390,100,66.04,-17.34,28.4,44.96
193,Arraial do Cabo,0,BR,1583959212,65,-22.97,-42.03,80.6,11.41
194,Khandyga,99,RU,1583959392,98,62.67,135.6,-0.35,4.25
195,Bengkulu,93,ID,1583959395,94,-3.8,102.27,74.95,4.68
196,Saskylakh,100,RU,1583959396,89,71.92,114.08,-3.57,20.71
197,Manacapuru,40,BR,1583959397,52,-3.3,-60.62,91.4,5.82
198,Nanortalik,16,GL,1583959398,74,60.14,-45.24,28.22,4.27
199,Takoradze,16,GH,1583959399,85,4.88,-1.76,80.35,5.03
200,Tuatapere,3,NZ,1583959262,84,-46.13,167.68,51.01,5.01
201,Saint George,43,US,1583959401,51,37.1,-113.58,63,4.7
202,Helong,84,CN,1583959402,80,42.54,129,19.45,8.3
203,Canutama,76,BR,1583959404,58,-6.53,-64.38,89.6,2.64
204,Øksfjord,75,NO,1583959405,79,70.24,22.35,28.4,5.82
205,Deputatsky,0,RU,1583959406,86,69.3,139.9,-28.34,1.21
206,Marawi,2,PH,1583959407,85,8,124.29,73,7
207,Tautira,75,PF,1583959408,66,-17.73,-149.15,87.8,17.22
208,Sungai Penuh,43,ID,1583959409,98,-2.08,101.38,62.89,2.77
209,Andros Town,75,BS,1583959410,61,24.7,-77.77,77,12.75
210,Kruisfontein,100,ZA,1583959208,82,-34,24.73,67.35,17.78
211,Qaqortoq,20,GL,1583959414,58,60.72,-46.03,26.6,5.82
